Step,Population,Total_Env_Resource,Season_Phase,Catastrophe_Active,Freq_Cooperators,Avg_Agent_Resource,Avg_Vision,Avg_Metabolism
0,200,4993.484029561152,0.0,0,0.48,15.0,3.535,2.5444706722145454
1,200,3905.689974766332,0.06283185307179587,0,0.48,15.043789254530985,3.535,2.5444706722145454
2,200,4134.628715678326,0.12566370614359174,0,0.48,15.105848083555243,3.535,2.5444706722145454
3,200,4287.137861868844,0.1884955592153876,0,0.48,15.199693486434535,3.535,2.5444706722145454
4,200,4374.686811362691,0.25132741228718347,0,0.48,15.358148509433825,3.535,2.5444706722145454
5,200,4435.076883489521,0.3141592653589793,0,0.48,15.470033750721065,3.535,2.5444706722145454
6,198,4495.704173922057,0.37699111843077515,0,0.4797979797979798,15.649017112197388,3.5505050505050506,2.5310685824342003
7,193,4550.697920540295,0.439822971502571,0,0.47668393782383417,16.127441564995163,3.5751295336787563,2.5038179375294547
8,189,4617.498895557995,0.5026548245743668,0,0.4656084656084656,16.459623580078482,3.560846560846561,2.4809437149277302
9,185,4660.072103241397,0.5654866776461627,0,0.4486486486486487,16.811734670268255,3.535135135135135,2.441005972440509
10,181,4691.817292041364,0.6283185307179585,0,0.430939226519337,17.12714471687115,3.5359116022099446,2.4085242790266514
11,178,4713.314604589683,0.6911503837897544,0,0.42134831460674155,17.35620642895851,3.544943820224719,2.3911996328670697
12,181,4747.967021606686,0.7539822368615502,0,0.4143646408839779,16.955535792503426,3.5359116022099446,2.377423289438423
13,180,4775.0879289794775,0.816814089933346,0,0.40555555555555556,16.916564439832538,3.522222222222222,2.3632562753392885
14,175,4795.92447578805,0.8796459430051419,0,0.4,17.272148765689668,3.5028571428571427,2.320243084282193
15,171,4803.155558504967,0.9424777960769377,0,0.391812865497076,17.57358553325907,3.508771929824561,2.2803078367167657
16,162,4816.293965638356,1.0053096491487337,0,0.38271604938271603,18.46389731138092,3.5123456790123457,2.215194182016213
17,159,4818.879715785525,1.0681415022205296,0,0.36477987421383645,18.76574436890275,3.50314465408805,2.1826932500326586
18,157,4823.026342639661,1.1309733552923256,0,0.35668789808917195,18.939996757184694,3.4904458598726116,2.171941263274106
19,153,4827.956501147233,1.1938052083641215,0,0.33986928104575165,19.38675240631799,3.503267973856209,2.134201096073181
20,147,4828.072054041781,1.2566370614359175,0,0.3333333333333333,20.130561938556095,3.4829931972789114,2.078294536490482
21,147,4833.949934695183,1.3194689145077134,0,0.3129251700680272,20.083911012068967,3.4625850340136055,2.0533554493757094
22,151,4842.0670496187995,1.3823007675795094,0,0.2980132450331126,19.44754824320957,3.443708609271523,2.028869487699421
23,150,4841.717227255207,1.4451326206513053,0,0.29333333333333333,19.488157895118167,3.4133333333333336,2.0001108798388745
24,147,4844.296950171397,1.5079644737231013,0,0.2857142857142857,19.81902050187786,3.36734693877551,1.987502200844673
25,146,4852.187457525466,1.5707963267948972,0,0.2876712328767123,19.84693920315212,3.308219178082192,1.9641156697060984
26,143,4852.040745045468,1.6336281798666932,0,0.27972027972027974,20.23576735510231,3.3216783216783217,1.939856755172807
27,144,4850.0005847730445,1.6964600329384891,0,0.2777777777777778,20.087771265064575,3.3055555555555554,1.8900426928406135
28,142,4852.416243758692,1.759291886010285,0,0.2605633802816901,20.378472347383052,3.2816901408450705,1.869205121779782
29,139,4854.82024528877,1.822123739082081,0,0.2446043165467626,20.794862913652587,3.287769784172662,1.8421789695799926
30,138,4855.722916634673,1.884955592153877,0,0.2391304347826087,20.915410683950753,3.2681159420289854,1.8433839475019707
31,134,4859.572699870556,1.947787445225673,0,0.22388059701492538,21.482244899978774,3.2686567164179103,1.825518758425946
32,131,4861.942339101194,2.0106192982974687,0,0.20610687022900764,21.892472577767066,3.312977099236641,1.8077719247477497
33,129,4858.861056975484,2.0734511513692646,0,0.20930232558139536,22.149923255300127,3.3255813953488373,1.7967446266886926
34,128,4861.298265175223,2.1362830044410606,0,0.203125,22.234823713692,3.359375,1.7850243943140305
35,129,4862.497572438819,2.1991148575128565,0,0.20155038759689922,21.956336816422667,3.3410852713178296,1.7817592383653809
36,126,4859.44626311023,2.2619467105846525,0,0.1984126984126984,22.410374479201195,3.3253968253968256,1.768439318682813
37,127,4856.567561459324,2.3247785636564484,0,0.2047244094488189,22.170011677556776,3.338582677165354,1.7466563934615644
38,125,4856.116339444159,2.3876104167282444,0,0.184,22.462265972772098,3.312,1.7382475607385455
39,123,4852.894676255113,2.4504422698000403,0,0.17886178861788618,22.75251409044537,3.317073170731707,1.7132578785439947
40,120,4854.721964469039,2.5132741228718363,0,0.16666666666666666,23.23332642684312,3.308333333333333,1.7019817047594195
41,118,4855.353669940437,2.576105975943632,0,0.16101694915254236,23.512564089312505,3.3135593220338984,1.6919081453753286
42,122,4855.882944398523,2.638937829015428,0,0.16393442622950818,22.61921565641489,3.262295081967213,1.6693200088639788
43,120,4858.216188705919,2.701769682087224,0,0.15,22.921377666628352,3.2416666666666667,1.6633599662931278
44,120,4859.079755204028,2.76460153515902,0,0.14166666666666666,22.807271771911868,3.158333333333333,1.656300372852397
45,119,4853.1732764601475,2.827433388230816,0,0.14285714285714285,22.91231146059323,3.1512605042016806,1.648577857497925
46,117,4847.894172395952,2.890265241302612,0,0.1452991452991453,23.23219307647502,3.1367521367521367,1.634547673593686
47,116,4844.680504746224,2.953097094374408,0,0.12931034482758622,23.388815392585443,3.0689655172413794,1.5983868633209775
48,117,4846.944553116862,3.015928947446204,0,0.13675213675213677,23.090368269641527,3.051282051282051,1.5971440644405008
49,115,4840.793194839682,3.078760800518,0,0.1391304347826087,23.492984233892322,3.0434782608695654,1.5834959050743955
50,114,4838.6265057209375,3.141592653589796,0,0.14035087719298245,23.691220127423325,3.026315789473684,1.576440604398448
51,113,4836.45721708944,3.2044245066615917,0,0.13274336283185842,23.907645375393233,3.0,1.5803481077338635
52,111,4830.682392038692,3.2672563597333877,0,0.11711711711711711,24.357715948926405,2.972972972972973,1.5780540644698757
53,111,4834.623177088279,3.3300882128051836,0,0.11711711711711711,24.26089865807004,2.972972972972973,1.5780540644698757
54,111,4836.967024964155,3.3929200658769796,0,0.11711711711711711,24.169979200771106,2.972972972972973,1.5780540644698757
55,110,4841.026811569185,3.4557519189487755,0,0.11818181818181818,24.289589119428992,2.9545454545454546,1.5629732471131152
56,112,4839.2482108168315,3.5185837720205715,0,0.11607142857142858,23.804498877801016,2.9017857142857144,1.5481438698171333
57,111,4832.04298033847,3.5814156250923674,0,0.10810810810810811,24.01494099638362,2.918918918918919,1.548893314281088
58,111,4833.555542717288,3.6442474781641634,0,0.10810810810810811,23.943583757163694,2.918918918918919,1.548893314281088
59,110,4829.756081745596,3.7070793312359593,0,0.10909090909090909,24.139436961512846,2.8727272727272726,1.5344299601762241
60,109,4828.522545877949,3.7699111843077553,0,0.11926605504587157,24.349351523998266,2.8990825688073394,1.5100008664766211
61,106,4831.341644257998,3.8327430373795512,0,0.09433962264150944,25.050653009521834,2.9339622641509435,1.4997389714738099
62,106,4829.430122112441,3.895574890451347,0,0.08490566037735849,25.037100391125843,2.9245283018867925,1.4963983821514761
63,106,4825.345418108147,3.958406743523143,0,0.08490566037735849,25.017042230597617,2.9245283018867925,1.4963983821514761
64,106,4820.911838625656,4.021238596594939,0,0.08490566037735849,24.99572620843416,2.9245283018867925,1.4963983821514761
65,107,4812.629151369349,4.084070449666735,0,0.08411214953271028,24.78003800396391,2.9065420560747666,1.4936677972809473
66,106,4808.712087060898,4.14690230273853,0,0.08490566037735849,24.999955236123203,2.9056603773584904,1.4879073065667126
67,106,4805.038724168927,4.209734155810326,0,0.08490566037735849,24.989177718007028,2.9056603773584904,1.4879073065667126
68,105,4806.1791983766325,4.272566008882121,0,0.08571428571428572,25.177962159018133,2.8857142857142857,1.4825191020351207
69,107,4807.778122937103,4.335397861953917,0,0.09345794392523364,24.668277864575074,2.925233644859813,1.477220771367394
70,105,4809.281464353053,4.398229715025712,0,0.08571428571428572,25.129124387603166,2.9523809523809526,1.467682795322958
71,105,4806.167275822518,4.461061568097508,0,0.08571428571428572,25.14072586356448,2.9523809523809526,1.467682795322958
72,103,4807.239881921708,4.523893421169303,0,0.06796116504854369,25.61305685372153,2.9611650485436893,1.47510124240758
73,107,4807.989780348917,4.586725274241099,0,0.06542056074766354,24.57651594152444,3.074766355140187,1.4814673138777572
74,105,4808.341141416589,4.649557127312894,0,0.06666666666666667,24.939819297138996,3.0761904761904764,1.4747982261300643
75,104,4808.521157105337,4.71238898038469,0,0.057692307692307696,25.095255690908655,3.0961538461538463,1.4751568927062473
76,104,4812.611288103088,4.775220833456485,0,0.057692307692307696,24.944831945899338,3.0961538461538463,1.4751568927062473
77,103,4816.474518545893,4.838052686528281,0,0.05825242718446602,25.037703162218847,3.0679611650485437,1.4704364289782461
78,103,4816.103518461862,4.900884539600076,0,0.05825242718446602,24.93387530399839,3.0679611650485437,1.4704364289782461
79,102,4819.956468386068,4.963716392671872,0,0.058823529411764705,25.03763809344404,3.0784313725490198,1.4644436946316841
80,99,4823.0674473037025,5.026548245743667,0,0.06060606060606061,25.683106129987127,3.0202020202020203,1.4304694602270729
81,99,4817.881149488244,5.089380098815463,0,0.050505050505050504,25.67666026209364,2.9797979797979797,1.429190842110534
82,99,2408.7292643791234,5.152211951887258,1,0.050505050505050504,25.497609711790055,2.9797979797979797,1.429190842110534
83,99,2819.3381560393736,5.215043804959054,1,0.050505050505050504,25.325320346249683,2.9797979797979797,1.429190842110534
84,99,3236.388516978607,5.277875658030849,1,0.050505050505050504,25.211438149456296,2.9797979797979797,1.429190842110534
85,105,3673.042957022238,5.340707511102645,1,0.05714285714285714,23.600607746191784,2.8666666666666667,1.4073747778464976
86,105,3976.327346780792,5.40353936417444,1,0.05714285714285714,23.490460549187066,2.8666666666666667,1.4073747778464976
87,104,4152.132096510824,5.466371217246236,1,0.057692307692307696,23.650242378101602,2.8653846153846154,1.3963530379507356
88,103,4303.124503694117,5.529203070318031,1,0.04854368932038835,23.866163539847623,2.883495145631068,1.4002011256978302
89,102,4432.960170562183,5.592034923389827,1,0.0392156862745098,24.043959440216724,2.8627450980392157,1.4021731130937722
90,101,4541.276025361165,5.654866776461622,1,0.0297029702970297,24.171537276660864,2.871287128712871,1.3965104511869353
91,101,4627.409484265532,5.717698629533418,1,0.0297029702970297,24.01058485030907,2.871287128712871,1.3965104511869353
92,107,4677.977916713655,5.780530482605213,1,0.037383177570093455,22.6307187967781,2.822429906542056,1.374442761313602
93,106,4684.549202747009,5.843362335677009,1,0.02830188679245283,22.805281767435403,2.792452830188679,1.3776586339744792
94,104,4683.6972547377845,5.906194188748804,1,0.019230769230769232,23.18238793886869,2.7596153846153846,1.3697523398907807
95,104,4692.255619109337,5.9690260418206,1,0.019230769230769232,23.021904407164747,2.7596153846153846,1.3697523398907807
96,104,4689.531682846938,6.031857894892395,1,0.019230769230769232,22.977793092914983,2.7596153846153846,1.3697523398907807
97,104,4688.193448307036,6.094689747964191,0,0.019230769230769232,22.933681778665218,2.7596153846153846,1.3697523398907807
98,104,4752.719004196941,6.157521601035986,0,0.019230769230769232,22.85012132388438,2.7596153846153846,1.3697523398907807
99,104,4796.325150245053,6.220353454107782,0,0.019230769230769232,22.80729206091668,2.7596153846153846,1.3697523398907807
100,104,4829.525665022076,6.283185307179577,0,0.019230769230769232,22.687539721025885,2.7596153846153846,1.3697523398907807
101,101,4840.7829635154285,6.346017160251373,0,0.019801980198019802,23.28903525907287,2.782178217821782,1.350071003666709
102,101,4850.05091836963,6.408849013323168,0,0.019801980198019802,23.156786037584386,2.782178217821782,1.350071003666709
103,101,4860.797845093197,6.471680866394964,0,0.019801980198019802,22.984932855699824,2.782178217821782,1.350071003666709
104,100,4863.475566690569,6.534512719466759,0,0.02,23.08369934631238,2.75,1.3454576113219014
105,99,4856.490946853687,6.597344572538555,0,0.020202020202020204,23.271535373169787,2.7474747474747474,1.340385433619495
106,99,4858.393580053886,6.66017642561035,0,0.020202020202020204,23.153372161772513,2.7474747474747474,1.340385433619495
107,98,4860.985287943505,6.723008278682146,0,0.02040816326530612,23.274043852745066,2.7448979591836733,1.3376134539659985
108,97,4868.1517219849675,6.785840131753941,0,0.010309278350515464,23.36252448271931,2.7628865979381443,1.3406052450636907
109,96,4864.271796802297,6.848671984825737,0,0.010416666666666666,23.504307082304294,2.78125,1.332341070329024
110,96,4860.911788794761,6.911503837897532,0,0.010416666666666666,23.411549345308618,2.78125,1.332341070329024
111,96,4862.844313285381,6.974335690969328,0,0.010416666666666666,23.277124941646246,2.78125,1.332341070329024
112,96,4869.994588971352,7.037167544041123,0,0.010416666666666666,23.10103387131723,2.78125,1.332341070329024
113,96,4858.466660558209,7.099999397112919,0,0.010416666666666666,23.091609467654873,2.78125,1.332341070329024
114,95,4861.492195305387,7.1628312501847144,0,0.010526315789473684,23.201027105278108,2.789473684210526,1.3293968769676228
115,94,4868.692565969153,7.22566310325651,0,0.0,23.27610760039562,2.797872340425532,1.332869503512181
116,94,4859.119357878383,7.2884949563283055,0,0.0,23.24111043730898,2.797872340425532,1.332869503512181
117,93,4862.194201438848,7.351326809400101,0,0.0,23.328259912715367,2.78494623655914,1.3285502052533746
118,93,4869.5897983190935,7.4141586624718965,0,0.0,23.128741965526494,2.78494623655914,1.3285502052533746
119,90,4859.610047955917,7.476990515543692,0,0.0,23.8738771669169,2.8444444444444446,1.3093131196263694
120,89,4862.696123460684,7.5398223686154875,0,0.0,24.00953155132231,2.842696629213483,1.3049496822557556
121,89,4870.202081343617,7.602654221687283,0,0.0,23.839413329740722,2.842696629213483,1.3049496822557556
122,93,4859.921347850184,7.6654860747590785,0,0.0,22.823303920711403,2.838709677419355,1.3074980384405341
123,93,4862.980180533042,7.728317927830874,0,0.0,22.687848893023563,2.838709677419355,1.3074980384405341
