Step,Population,Total_Env_Resource,Season_Phase,Catastrophe_Active,Freq_Cooperators,Avg_Agent_Resource,Avg_Vision,Avg_Metabolism
0,200,5039.172728035332,0.0,0,0.53,15.0,3.565,2.384103108476234
1,200,4106.80761484801,0.06283185307179587,0,0.53,15.330630612012174,3.565,2.384103108476234
2,200,4421.7699965463735,0.12566370614359174,0,0.53,15.769238309957041,3.565,2.384103108476234
3,200,4600.845416751423,0.1884955592153876,0,0.53,16.179238842440096,3.565,2.384103108476234
4,200,4664.214319514809,0.25132741228718347,0,0.53,16.532572685154616,3.565,2.384103108476234
5,200,4684.841463102548,0.3141592653589793,0,0.53,16.89315118925954,3.565,2.384103108476234
6,199,4736.289460678055,0.37699111843077515,0,0.5326633165829145,17.31556850102283,3.577889447236181,2.3772761198170307
7,197,4772.771080024211,0.439822971502571,0,0.5380710659898477,17.824967469317045,3.6040609137055837,2.36636859531219
8,196,4818.794715433338,0.5026548245743668,0,0.5357142857142857,18.12922423679454,3.586734693877551,2.345082287108882
9,193,4864.252817464932,0.5654866776461627,0,0.533678756476684,18.646151961385698,3.6010362694300517,2.3311645389837996
10,190,4927.137094155591,0.6283185307179585,0,0.5263157894736842,19.118485339400152,3.594736842105263,2.3102529834510133
11,190,4962.873155827095,0.6911503837897544,0,0.5210526315789473,19.328268282833246,3.610526315789474,2.284830004517009
12,188,4991.537102203055,0.7539822368615502,0,0.5159574468085106,19.720340038146805,3.617021276595745,2.2587433111904573
13,189,4999.58691014137,0.816814089933346,0,0.5132275132275133,19.822252705694837,3.613756613756614,2.2374820349702422
14,189,5019.406831675229,0.8796459430051419,0,0.49206349206349204,20.040940543929057,3.619047619047619,2.2033978137229497
15,188,5032.020081395353,0.9424777960769377,0,0.46808510638297873,20.379864787543646,3.632978723404255,2.161664558114634
16,188,5045.931990653829,1.0053096491487337,0,0.4574468085106383,20.57761937725042,3.643617021276596,2.131454184617748
17,188,5062.784612823572,1.0681415022205296,0,0.4521276595744681,20.723565574147145,3.627659574468085,2.1201815647844664
18,187,5071.937777911571,1.1309733552923256,0,0.44385026737967914,20.9947977881285,3.6363636363636362,2.1139171298619
19,188,5074.587949995028,1.1938052083641215,0,0.4308510638297872,21.045805991813047,3.622340425531915,2.101255743320246
20,187,5086.277257158079,1.2566370614359175,0,0.41711229946524064,21.276947656935,3.620320855614973,2.0873426413177527
21,186,5097.452220621546,1.3194689145077134,0,0.4032258064516129,21.484625040925348,3.60752688172043,2.076318546572331
22,187,5098.579361720933,1.3823007675795094,0,0.40106951871657753,21.47008678425072,3.6149732620320854,2.053918723608139
23,184,5102.28340700003,1.4451326206513053,0,0.3858695652173913,21.929260310800466,3.619565217391304,2.0323559923267527
24,188,5103.85820063109,1.5079644737231013,0,0.3829787234042553,21.533136309097184,3.617021276595745,2.0039528651510876
25,185,5100.897634912119,1.5707963267948972,0,0.3837837837837838,22.007186857123564,3.6216216216216215,1.9846277054996389
26,187,5103.589741825833,1.6336281798666932,0,0.3850267379679144,21.886626287220697,3.5989304812834226,1.9816498817481498
27,182,5105.037508536192,1.6964600329384891,0,0.3791208791208791,22.61580511998475,3.576923076923077,1.9552801279339118
28,176,5101.952953572322,1.759291886010285,0,0.375,23.572086868871043,3.590909090909091,1.9092258853737827
29,174,5103.306920448636,1.822123739082081,0,0.3620689655172414,24.025660340336845,3.6149425287356323,1.9028007128162503
30,177,5108.611797879349,1.884955592153877,0,0.3502824858757062,23.73555124589228,3.6440677966101696,1.8864625205326433
31,177,5107.976786327928,1.947787445225673,0,0.3333333333333333,23.87646286335064,3.621468926553672,1.884005292988438
32,182,5114.275246661315,2.0106192982974687,0,0.3241758241758242,23.288074822400013,3.598901098901099,1.8595208274222752
33,183,5114.029276126515,2.0734511513692646,0,0.31693989071038253,23.231172886143533,3.612021857923497,1.851671653906154
34,181,5113.4391116529905,2.1362830044410606,0,0.30939226519337015,23.57158408434133,3.6298342541436464,1.8396272518644081
35,179,5119.991627105376,2.1991148575128565,0,0.30726256983240224,23.88564255934307,3.636871508379888,1.8320358238128425
36,181,5120.884158559625,2.2619467105846525,0,0.292817679558011,23.682207598217705,3.6740331491712706,1.8015311295084468
37,181,5120.425926671568,2.3247785636564484,0,0.292817679558011,23.742953247211688,3.6740331491712706,1.8015311295084468
38,181,5122.849698460817,2.3876104167282444,0,0.281767955801105,23.77968282419218,3.6519337016574585,1.7900571049300749
39,179,5125.184317081312,2.4504422698000403,0,0.27932960893854747,24.06392382869532,3.631284916201117,1.7839003438935428
40,187,5118.0049212212125,2.5132741228718363,0,0.2727272727272727,23.08574185876495,3.6470588235294117,1.7732857796518113
41,186,5119.981317916141,2.576105975943632,0,0.27419354838709675,23.215752376325213,3.639784946236559,1.7665339052158786
42,186,5121.831521560813,2.638937829015428,0,0.26344086021505375,23.2371360802427,3.6774193548387095,1.747731449275271
